,Y_bit,param_C,param_solver,Y_bit_pct,mean_test_score,precision,accuracy,recall,f1,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,random_seed
158,158,0.025,lbfgs,0.4556060606060606,0.5500321056084646,0.5777777777777777,0.555,0.08163265306122448,0.14305364511691884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
159,159,0.025,lbfgs,0.5925432900432901,0.5799472949810571,0.5941981747066493,0.5913492063492064,0.9773488808470714,0.7390665382861198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
162,162,0.025,lbfgs,0.2082792207792208,0.5831160933946062,0.5348837209302325,0.7954761904761904,0.008914728682170543,0.01753717117804041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
163,163,0.025,lbfgs,0.4165692640692641,0.6211652711462692,0.5989492119089317,0.6034126984126984,0.13095921883974726,0.21492537313432833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
164,164,0.025,lbfgs,0.15485930735930736,0.594166856723054,0.14285714285714285,0.8346825396825397,0.000964785335262904,0.0019166267369429804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
165,165,0.025,lbfgs,0.41932900432900433,0.6083374912647195,0.5835929387331257,0.5946825396825397,0.10668185269552012,0.18038838067725887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
166,166,0.025,lbfgs,0.1931168831168831,0.5747446144049395,0.47058823529411764,0.811984126984127,0.006759611322348965,0.013327780091628489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
167,167,0.025,lbfgs,0.3817857142857143,0.5809033846959513,0.5609065155807366,0.6357936507936508,0.042746113989637305,0.0794383149448345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
179,179,0.025,lbfgs,0.11663419913419913,0.5796995388963261,0.23809523809523808,0.8884126984126984,0.0035842293906810036,0.007062146892655367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
183,183,0.025,lbfgs,0.11591991341991342,0.6008327953371645,0.42857142857142855,0.8875396825396825,0.00211864406779661,0.004216444132115249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
197,197,0.025,lbfgs,0.25576839826839826,0.5694924822069998,0.5,0.7476190476190476,0.0006289308176100629,0.001256281407035176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
198,198,0.025,lbfgs,0.14147186147186147,0.5554521313925894,0.0,0.8613492063492063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
199,199,0.025,lbfgs,0.21335497835497835,0.5745827313078958,0.4375,0.8000793650793651,0.0027810885975367503,0.005527043031977892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
200,200,0.025,lbfgs,0.2998701298701299,0.5180841495223412,0.0,0.7087301587301588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
202,202,0.025,lbfgs,0.15874458874458874,0.5677662291440594,0.0,0.8383333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
203,203,0.025,lbfgs,0.4213636363636364,0.5363910956717417,0.35294117647058826,0.5846825396825397,0.0022975301550832855,0.00456534144949591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
204,204,0.025,lbfgs,0.208008658008658,0.5428336181658607,0.3333333333333333,0.7899206349206349,0.0003779289493575208,0.0007550018875047187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
205,205,0.025,lbfgs,0.5339177489177489,0.5186133827794946,0.5357403059985428,0.536984126984127,0.9852612773559625,0.6940744625065548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
206,206,0.025,lbfgs,0.5376731601731601,0.5334972908998121,0.5431197177320095,0.541984126984127,0.9702433304016418,0.6964069651217845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
207,207,0.025,lbfgs,0.5711580086580087,0.5314928055785043,0.5642902609802674,0.5644444444444444,0.9983108108108109,0.7210248068320455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
208,208,0.025,lbfgs,0.16906926406926406,0.5392191240786578,0.0,0.8406349206349206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
210,210,0.025,lbfgs,0.15567099567099568,0.5617368281198187,0.0,0.8395238095238096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
211,211,0.025,lbfgs,0.31413419913419915,0.5194455044655254,0.2727272727272727,0.6972222222222222,0.0007874015748031496,0.0015702695629416382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
