Metadata_Compound_Source,Metadata_JCP2022
source_1,JCP2022_009385
source_1,JCP2022_009409
source_1,JCP2022_009415
source_1,JCP2022_009416
source_1,JCP2022_009421
source_1,JCP2022_009424
source_1,JCP2022_009430
source_1,JCP2022_009436
source_1,JCP2022_009446
source_1,JCP2022_009451
source_1,JCP2022_009455
source_1,JCP2022_009469
source_1,JCP2022_009474
source_1,JCP2022_009484
source_1,JCP2022_009494
source_1,JCP2022_009502
source_1,JCP2022_009507
source_1,JCP2022_009516
source_1,JCP2022_009540
source_1,JCP2022_009549
source_1,JCP2022_009551
source_1,JCP2022_009552
source_1,JCP2022_009561
source_1,JCP2022_009574
source_1,JCP2022_009589
source_1,JCP2022_009591
source_1,JCP2022_009593
source_1,JCP2022_009611
source_1,JCP2022_009612
source_1,JCP2022_009628
source_1,JCP2022_009644
source_1,JCP2022_009650
source_1,JCP2022_009669
source_1,JCP2022_009670
source_1,JCP2022_009682
source_1,JCP2022_009687
source_1,JCP2022_009695
source_1,JCP2022_009701
source_1,JCP2022_009705
source_1,JCP2022_009716
source_1,JCP2022_009719
source_1,JCP2022_009726
source_1,JCP2022_009733
source_1,JCP2022_009738
source_1,JCP2022_009752
source_1,JCP2022_009756
source_1,JCP2022_009763
source_1,JCP2022_009765
source_1,JCP2022_009768
source_1,JCP2022_009773
source_1,JCP2022_009782
source_1,JCP2022_009801
source_1,JCP2022_009804
source_1,JCP2022_009809
source_1,JCP2022_009814
source_1,JCP2022_009816
source_1,JCP2022_009823
source_1,JCP2022_009865
source_1,JCP2022_009866
source_1,JCP2022_009870
source_1,JCP2022_009877
source_1,JCP2022_009925
source_1,JCP2022_009946
source_1,JCP2022_009947
source_1,JCP2022_009967
source_1,JCP2022_009970
source_1,JCP2022_010008
source_1,JCP2022_010010
source_1,JCP2022_010012
source_1,JCP2022_010015
source_1,JCP2022_010022
source_1,JCP2022_010023
source_1,JCP2022_010045
source_1,JCP2022_010051
source_1,JCP2022_010060
source_1,JCP2022_010061
source_1,JCP2022_010073
source_1,JCP2022_010076
source_1,JCP2022_010110
source_1,JCP2022_010115
source_1,JCP2022_010116
source_1,JCP2022_010141
source_1,JCP2022_010149
source_1,JCP2022_010151
source_1,JCP2022_010157
source_1,JCP2022_010158
source_1,JCP2022_010166
source_1,JCP2022_010180
source_1,JCP2022_010220
source_1,JCP2022_010225
source_1,JCP2022_010226
source_1,JCP2022_010230
source_1,JCP2022_010247
source_1,JCP2022_010250
source_1,JCP2022_010252
source_1,JCP2022_010269
source_1,JCP2022_010273
source_1,JCP2022_010275
source_1,JCP2022_010277
source_1,JCP2022_010291
source_1,JCP2022_010295
source_1,JCP2022_010298
source_1,JCP2022_010330
source_1,JCP2022_010336
source_1,JCP2022_010338
source_1,JCP2022_010342
source_1,JCP2022_010370
source_1,JCP2022_010383
